,symbol,exchangeShortName,type
477,HOMB,NASDAQ,stock
478,QD,NYSE,stock
479,NSC,NYSE,stock
480,NKTR,NASDAQ,stock
481,PSX,NYSE,stock
482,CERN,NASDAQ,stock
483,AKAM,NASDAQ,stock
484,PNW,NYSE,stock
485,CDNS,NASDAQ,stock
486,FOE,NYSE,stock
487,A,NYSE,stock
488,MDRX,NASDAQ,stock
489,MOS,NYSE,stock
490,LPL,NYSE,stock
491,SKX,NYSE,stock
492,PHM,NYSE,stock
493,MT,NYSE,stock
494,ISBC,NASDAQ,stock
495,CAAP,NYSE,stock
496,RRC,NYSE,stock
497,FL,NYSE,stock
498,NTAP,NASDAQ,stock
499,AGO,NYSE,stock
500,BBBY,NASDAQ,stock
501,CCJ,NYSE,stock
502,MAR,NASDAQ,stock
503,AXTA,NYSE,stock
504,VIAV,NASDAQ,stock
505,SHOO,NASDAQ,stock
506,AEM,NYSE,stock
507,BB,NYSE,stock
508,CB,NYSE,stock
509,PRU,NYSE,stock
510,RUN,NASDAQ,stock
511,PVG,NYSE,stock
512,HA,NASDAQ,stock
513,PBCT,NASDAQ,stock
514,UCBI,NASDAQ,stock
515,LBTYA,NASDAQ,stock
516,AVYA,NYSE,stock
517,CBSH,NASDAQ,stock
518,SC,NYSE,stock
519,ANF,NYSE,stock
520,HIG,NYSE,stock
521,ITW,NYSE,stock
522,AZN,NYSE,stock
523,YELP,NYSE,stock
524,MTOR,NYSE,stock
525,EVC,NYSE,stock
526,TSCO,NASDAQ,stock
527,POST,NYSE,stock
528,EL,NYSE,stock
529,ING,NYSE,stock
530,UBS,NYSE,stock
531,VSH,NYSE,stock
532,TER,NASDAQ,stock
533,TWLO,NYSE,stock
534,TRUE,NASDAQ,stock
535,RLGY,NYSE,stock
536,CNO,NYSE,stock
537,JNPR,NYSE,stock
538,URBN,NASDAQ,stock
539,ROKU,NASDAQ,stock
540,FEDU,NYSE,stock
541,AUD,NYSE,stock
542,BANC,NYSE,stock
543,OMF,NYSE,stock
544,LW,NYSE,stock
545,FE,NYSE,stock
546,NOC,NYSE,stock
